Date,NotCovidPatients,CovidPatients
2021-10-29,332.0,24.0
2021-10-30,327.0,24.0
2021-10-31,327.0,24.0
2021-11-01,334.0,29.0
2021-11-02,326.0,32.0
2021-11-03,335.0,32.0
2021-11-04,327.0,33.0
2021-11-05,326.0,34.0
2021-11-06,325.0,35.0
2021-11-07,321.0,37.0
2021-11-08,319.0,31.0
2021-11-09,323.0,35.0
2021-11-10,321.0,38.0
2021-11-11,326.0,38.0
2021-11-12,318.0,37.0
2021-11-13,316.0,37.0
2021-11-14,314.0,36.0
2021-11-15,296.0,36.0
2021-11-16,318.0,32.0
2021-11-17,328.0,30.0
2021-11-18,329.0,30.0
2021-11-19,317.0,30.0
2021-11-20,311.0,30.0
2021-11-21,308.0,30.0
2021-11-22,328.0,28.0
2021-11-23,339.0,25.0
2021-11-24,337.0,21.0
2021-11-25,336.0,24.0
2021-11-26,326.0,32.0
2021-11-27,320.0,32.0
2021-11-28,306.0,35.0
2021-11-29,316.0,41.0
2021-11-30,326.0,43.0
2021-12-01,330.0,41.0
2021-12-02,340.0,43.0
2021-12-03,320.0,46.0
2021-12-04,323.0,46.0
2021-12-05,321.0,46.0
2021-12-06,317.0,47.0
2021-12-07,337.0,50.0
2021-12-08,331.0,54.0
2021-12-09,317.0,56.0
2021-12-10,310.0,48.0
2021-12-11,309.0,54.0
2021-12-12,308.0,54.0
2021-12-13,301.0,67.0
2021-12-14,318.0,72.0
2021-12-15,326.0,79.0
2021-12-16,305.0,79.0
2021-12-17,304.0,83.0
2021-12-18,297.0,83.0
2021-12-19,311.0,82.0
2021-12-20,314.0,89.0
2021-12-21,318.0,88.0
2021-12-22,303.0,92.0
2021-12-23,267.0,88.0
2021-12-24,259.0,93.0
2021-12-25,276.0,94.0
2021-12-26,286.0,95.0
2021-12-27,288.0,99.0
2021-12-28,282.0,103.0
2021-12-29,288.0,103.0
2021-12-30,268.0,107.0
2021-12-31,270.0,108.0
2022-01-01,259.0,112.0
2022-01-02,264.0,117.0
2022-01-03,265.0,122.0
2022-01-04,286.0,115.0
2022-01-05,294.0,116.0
2022-01-06,297.0,110.0
2022-01-07,278.0,108.0
2022-01-08,270.0,106.0
2022-01-09,286.0,97.0
2022-01-10,285.0,102.0
2022-01-11,296.0,105.0
2022-01-12,285.0,101.0
2022-01-13,295.0,94.0
2022-01-14,292.0,104.0
2022-01-15,277.0,96.0
2022-01-16,277.0,100.0
2022-01-17,290.0,104.0
2022-01-18,302.0,110.0
2022-01-19,296.0,107.0
2022-01-20,294.0,111.0
2022-01-21,284.0,105.0
2022-01-22,261.0,105.0
2022-01-23,258.0,101.0
2022-01-24,257.0,107.0
2022-01-25,273.0,108.0
2022-01-26,279.0,107.0
2022-01-27,273.0,103.0
2022-01-28,265.0,99.0
2022-01-29,254.0,107.0
2022-01-30,234.0,117.0
2022-01-31,231.0,113.0
2022-02-01,255.0,111.0
2022-02-02,263.0,106.0
2022-02-03,268.0,116.0
2022-02-04,268.0,105.0
2022-02-05,252.0,108.0
2022-02-06,262.0,102.0
2022-02-07,257.0,115.0
2022-02-08,265.0,103.0
2022-02-09,261.0,93.0
2022-02-10,276.0,95.0
2022-02-11,258.0,96.0
2022-02-12,264.0,88.0
2022-02-13,257.0,85.0
2022-02-14,257.0,91.0
2022-02-15,270.0,92.0
2022-02-16,287.0,79.0
2022-02-17,280.0,72.0
2022-02-18,273.0,81.0
2022-02-19,279.0,83.0
2022-02-20,269.0,87.0
2022-02-21,260.0,81.0
2022-02-22,279.0,86.0
2022-02-23,261.0,77.0
2022-02-24,269.0,72.0
2022-02-25,274.0,73.0
2022-02-26,268.0,73.0
2022-02-27,263.0,74.0
2022-02-28,279.0,70.0
2022-03-01,285.0,69.0
2022-03-02,298.0,58.0
2022-03-03,289.0,53.0
2022-03-04,271.0,59.0
2022-03-05,274.0,64.0
2022-03-06,280.0,61.0
2022-03-07,276.0,51.0
2022-03-08,267.0,50.0
2022-03-09,284.0,50.0
2022-03-10,289.0,54.0
2022-03-11,274.0,47.0
2022-03-12,269.0,44.0
2022-03-13,275.0,46.0
2022-03-14,280.0,47.0
2022-03-15,294.0,40.0
2022-03-16,296.0,43.0
2022-03-17,312.0,42.0
2022-03-18,302.0,32.0
2022-03-19,298.0,36.0
2022-03-20,302.0,33.0
2022-03-21,313.0,29.0
2022-03-22,317.0,36.0
2022-03-23,318.0,32.0
2022-03-24,302.0,32.0
2022-03-25,284.0,27.0
2022-03-26,288.0,25.0
2022-03-27,287.0,24.0
2022-03-28,299.0,25.0
2022-03-29,292.0,28.0
2022-03-30,295.0,26.0
2022-03-31,302.0,25.0
2022-04-01,294.0,24.0
2022-04-02,299.0,21.0
2022-04-03,297.0,20.0
2022-04-04,296.0,16.0
2022-04-05,301.0,22.0
2022-04-06,309.0,25.0
2022-04-07,315.0,22.0
2022-04-08,312.0,26.0
2022-04-09,306.0,27.0
2022-04-10,311.0,27.0
2022-04-11,313.0,24.0
2022-04-12,329.0,23.0
2022-04-13,299.0,32.0
2022-04-14,309.0,24.0
2022-04-15,304.0,22.0
2022-04-16,303.0,23.0
2022-04-17,302.0,22.0
2022-04-18,306.0,25.0
2022-04-19,282.0,24.0
2022-04-20,315.0,23.0
2022-04-21,310.0,19.0
2022-04-22,303.0,21.0
2022-04-23,298.0,21.0
2022-04-24,297.0,21.0
2022-04-25,308.0,20.0
2022-04-26,307.0,20.0
2022-04-27,326.0,18.0
2022-04-28,316.0,21.0
2022-04-29,311.0,17.0
2022-04-30,309.0,17.0
2022-05-01,309.0,17.0
2022-05-02,308.0,18.0
2022-05-03,320.0,18.0
2022-05-04,318.0,16.0
2022-05-05,325.0,16.0
2022-05-06,317.0,13.0
2022-05-07,317.0,13.0
2022-05-08,315.0,12.0
2022-05-09,319.0,15.0
2022-05-10,330.0,15.0
2022-05-11,336.0,11.0
2022-05-12,346.0,9.0
2022-05-13,332.0,8.0
2022-05-14,334.0,8.0
2022-05-15,330.0,8.0
2022-05-16,321.0,11.0
2022-05-17,342.0,13.0
2022-05-18,340.0,10.0
2022-05-19,344.0,7.0
2022-05-20,335.0,6.0
2022-05-21,339.0,7.0
2022-05-22,338.0,6.0
2022-05-23,345.0,5.0
2022-05-24,356.0,5.0
2022-05-25,356.0,5.0
2022-05-26,364.0,3.0
2022-05-27,338.0,3.0
2022-05-28,346.0,3.0
2022-05-29,342.0,3.0
2022-05-30,355.0,5.0
2022-05-31,368.0,5.0
2022-06-01,340.0,5.0
2022-06-02,329.0,6.0
2022-06-03,320.0,4.0
2022-06-04,316.0,4.0
2022-06-05,319.0,4.0
2022-06-06,319.0,4.0
2022-06-07,335.0,4.0
2022-06-08,339.0,4.0
2022-06-09,350.0,6.0
2022-06-10,339.0,6.0
2022-06-11,335.0,7.0
2022-06-12,335.0,7.0
2022-06-13,319.0,7.0
2022-06-14,331.0,7.0
2022-06-15,332.0,6.0
2022-06-16,333.0,7.0
2022-06-17,319.0,7.0
2022-06-18,311.0,7.0
2022-06-19,317.0,7.0
2022-06-20,310.0,9.0
2022-06-21,323.0,7.0
2022-06-22,314.0,7.0
2022-06-23,309.0,7.0
2022-06-24,303.0,7.0
2022-06-25,304.0,7.0
2022-06-26,303.0,7.0
2022-06-27,305.0,14.0
2022-06-28,299.0,12.0
2022-06-29,290.0,14.0
2022-06-30,280.0,13.0
2022-07-01,287.0,11.0
2022-07-02,283.0,12.0
2022-07-03,286.0,11.0
2022-07-04,282.0,9.0
2022-07-05,296.0,11.0
2022-07-06,293.0,11.0
2022-07-07,280.0,10.0
2022-07-08,275.0,15.0
2022-07-09,275.0,15.0
2022-07-10,274.0,15.0
2022-07-11,267.0,13.0
2022-07-12,270.0,14.0
2022-07-13,278.0,12.0
2022-07-14,278.0,16.0
2022-07-15,256.0,14.0
2022-07-16,267.0,14.0
2022-07-17,258.0,15.0
2022-07-18,249.0,11.0
2022-07-19,260.0,10.0
2022-07-20,265.0,11.0
2022-07-21,270.0,14.0
2022-07-22,265.0,14.0
2022-07-23,265.0,14.0
2022-07-24,266.0,14.0
2022-07-25,267.0,17.0
2022-07-26,272.0,16.0
2022-07-27,280.0,18.0
2022-07-28,271.0,17.0
2022-07-29,268.0,14.0
2022-07-30,268.0,12.0
2022-07-31,268.0,12.0
2022-08-01,267.0,11.0
2022-08-02,271.0,12.0
2022-08-03,263.0,14.0
2022-08-04,259.0,16.0
2022-08-05,264.0,15.0
2022-08-06,262.0,15.0
2022-08-07,263.0,14.0
2022-08-08,259.0,16.0
2022-08-09,289.0,15.0
2022-08-10,280.0,15.0
2022-08-11,279.0,16.0
2022-08-12,284.0,21.0
2022-08-13,281.0,20.0
2022-08-14,281.0,20.0
2022-08-15,283.0,21.0
2022-08-16,266.0,19.0
2022-08-17,283.0,23.0
2022-08-18,277.0,24.0
2022-08-19,290.0,14.0
2022-08-20,286.0,13.0
2022-08-21,288.0,12.0
2022-08-22,281.0,16.0
2022-08-23,289.0,19.0
2022-08-24,286.0,18.0
2022-08-25,287.0,17.0
2022-08-26,289.0,15.0
2022-08-27,286.0,17.0
2022-08-28,289.0,17.0
2022-08-29,291.0,13.0
2022-08-30,301.0,12.0
2022-08-31,306.0,14.0
2022-09-01,288.0,15.0
2022-09-02,303.0,14.0
2022-09-03,299.0,14.0
2022-09-04,299.0,14.0
2022-09-05,293.0,15.0
2022-09-06,300.0,8.0
2022-09-07,321.0,9.0
2022-09-08,310.0,13.0
2022-09-09,307.0,12.0
2022-09-10,304.0,15.0
2022-09-11,305.0,13.0
2022-09-12,306.0,9.0
2022-09-13,316.0,10.0
2022-09-14,322.0,9.0
2022-09-15,322.0,12.0
2022-09-16,309.0,14.0
2022-09-17,312.0,13.0
2022-09-18,311.0,15.0
2022-09-19,303.0,18.0
2022-09-20,315.0,19.0
2022-09-21,313.0,14.0
2022-09-22,312.0,18.0
2022-09-23,295.0,15.0
2022-09-24,299.0,17.0
2022-09-25,295.0,16.0
2022-09-26,308.0,14.0
2022-09-27,326.0,14.0
2022-09-28,331.0,11.0
2022-09-29,314.0,13.0
2022-09-30,313.0,12.0
2022-10-01,309.0,12.0
2022-10-02,309.0,10.0
2022-10-03,320.0,13.0
2022-10-04,322.0,14.0
2022-10-05,345.0,18.0
2022-10-06,334.0,17.0
2022-10-07,338.0,16.0
2022-10-08,337.0,16.0
2022-10-09,334.0,14.0
2022-10-10,323.0,15.0
2022-10-11,328.0,14.0
2022-10-12,329.0,17.0
2022-10-13,313.0,12.0
2022-10-14,306.0,16.0
2022-10-15,309.0,17.0
2022-10-16,302.0,17.0
